R,G,B
0.6106,0.2852,0.197
1,0.347,0.2541
0.6164,0.4529,0.2157
0.1306,0.2057,0.2251
0.1653,0.4035,0.5323
0.7106,0.6915,0.5774
0.627,0.2787,0.0607
0.7849,0.2893,0.6128
0.7875,0.953,0.6226
0.7018,0.1864,0.2274
0.5016,0.4922,0.2834
0.1548,0.0904,0.1529
1,0.6756,1
0.9081,0.1752,0.3514
0.5043,0.4844,0.3848
0.8629,0.8025,0.3388
0.1358,0.0765,0.2443
0.3022,0.1456,0.1839
0.4719,0.7104,0.9055
0.8022,0.9239,0.922
0.7755,0.474,0.7852
0.416,0.2342,0.2171
0.244,0.3136,0.8422
0.5222,0.5967,0.6259
0.8917,0.6374,0.356
0.7197,0.8457,0.2648
0.5133,0.4814,0.3855
0.5838,0.7339,0.4575
0.4463,0.6082,0.674
0.2949,0.5211,0.5008
0.0686,0.1244,0.0995
0.8234,0.7809,0.8081
0.8884,0.9149,0.7783
0.7362,0.3536,0.518
0.8199,0.7648,0.9415
0.6947,0.1768,0.3396
0.6289,0.5799,0.4852
0.3685,0.4026,0.092
0.2442,0.2984,0.2454
0.2015,0.0598,0.1476
0.1755,0.0851,0.1161
0.9465,0.593,0.5711
0.967,0.7146,0.8968
0.8078,0.6809,0.0582
0.4599,0.8576,0.8398
0.9757,0.7267,0.7775
0.3039,0.4289,0.9686
0.1594,0.0239,0.3083
0.6427,0.4151,0.5012
0.0686,0.3174,0.3095
0.6244,0.5613,0.6658
0.4167,0.2321,0.2334
0.6514,0.6931,0.7319
0.7323,0.684,0.5838
0.8832,0.1888,0.4854
1,0.4204,0.8553
1,0.8256,0.8247
1,0.4858,0.4789
0.7251,0.6659,0.7692
0.3036,0.3587,0.6442
0.3053,0.1457,0.1677
0.7275,0.7982,0.898
1,0.8264,0.7953
0.4284,0.1554,0.5174
0.1071,0.5353,0.5366
0.4784,0.3398,0.4202
0.9365,0.4284,0.3488
0.5005,0.3349,0.3788
0.4482,0.4979,0.4166
0.4927,0.4878,0.3872
0.6158,0.3875,0.7242
0.5141,0.3634,0.9669
0.5064,0.8796,0.4641
0.7099,0.5528,0.448
0.3351,0.4965,0.6406
0.367,0.7159,0.9722
0.2292,0.2631,0.4976
0.8917,0.8888,1
0.0786,0.8948,0.734
0.8127,0.9202,0.9311
0.2819,0.5955,0.9212
0.0827,0.2254,0.0283
0.5723,0.8766,0.2482
0.3413,0.3859,0.4342
1,0.7275,0.4807
0.241,0.1064,0.4504
0.3988,0.5008,0.5089
0.5052,0.4626,0.5761
0.1114,0.5043,0.7493
0.6395,0.6809,0.8492
1,0.75,0.3035
0.1804,0.4166,0.4212
0.6037,0.5735,0.6246
0.6859,0.6832,0.7311
0.3457,0.1202,0.1037
0.8579,0.7639,0.8528
0.2108,0.1818,0.2449
0.3585,0.2612,0.2415
0.5543,0.6083,0.4058
0.7119,0.4012,0.2409
0.066,0.2208,0.1623
0.2322,0.3111,0.0428
0.3517,0.2592,0.2853
0.8289,0.7799,0.8018
0.856,0.4253,0.7703
0.3483,0.3959,0.3231
0.8255,0.6467,0.6134
0.0794,0.1232,0.0891
0.2586,0.1728,0.1628
0.18,0.629,0.7779
0.3135,0.8573,0.9765
0.5475,0.4424,0.6071
0.2607,0.1484,0.3034
0.3885,0.6273,0.5998
0.5582,0.3057,0.3548
0.185,0.2924,0.3962
0.3956,0.37,0.4346
1,0.6785,0.5139
0.7222,0.5626,0.1723
0.962,0.2958,0.8549
0.2065,0.2999,0.3122
1,0.8585,0.8874
0.5824,0.3874,0.792
0.3542,0.2468,0.3622
0.2645,0.157,0.2533
0.4546,0.3612,0.3261
0.6016,0.6991,0.789
0.5755,0.6091,0.2833
0.4422,0.7502,0.6019
0.4454,0.5559,0.9766
0.3862,0.3656,0.4859
0.8662,0.4846,0.2707
0.4903,0.4294,0.7802
0.8462,0.9471,0.4617
1,0.2665,0.3317
0.1377,0.5135,0.6858
1,0.3213,0.437
1,0.6609,0.9572
0.5636,0.3053,0.3306
0.8421,0.1423,0.7476
0.2079,0.2987,0.3198
0.944,0.7331,0.8354
0.7069,0.5429,0.5608
1,0.2954,0.2015
1,0.4315,0.5234
0.8863,0.4575,0.4436
1,0.7124,0.4004
0.2359,0.1747,0.2281
0.9674,0.8839,0.843
0.4091,0.5033,0.4627
0.1996,0.1851,0.2487
0.5849,0.6951,0.849
0.8266,0.3022,0.3158
0.877,0.9266,0.6742
0.4364,0.3709,0.2965
0.3016,0.2711,0.341
0.6491,0.8385,0.6964
0.7724,0.6779,0.4887
0.6508,0.2542,0.1431
0.1778,0.0849,0.1069
0.9037,0.3365,0.925
0.5433,0.7051,0.8453
0.5179,0.4509,0.6231
0.8993,0.7556,0.7978
0.1837,0.4181,0.4035
0.181,0.0355,0.2599
0.2712,0.8663,0.9314
0.7333,0.8164,0.7196
0.0918,0.5968,0.9859
0.5002,0.595,0.6835
1,0.3929,0.7513
0.4892,0.2751,0.6811
0.6822,0.5368,0.685
0.8897,0.6445,0.2002
1,0.8874,0.5737
0.253,0.0104,0.0093
0.1987,1,0.8328
0.4881,0.441,0.7312
0.3876,0.0642,0.1131
0.6131,0.2712,0.316
0.6059,0.8413,0.7627
0.7503,0.3795,0.1645
0.1686,0.1941,0.2485
0.6165,0.4408,0.3901
0.817,0.6004,0.9505
0.7621,0.6164,0.9861
0.7135,0.4967,0.8308
0.5144,0.6162,0.4377
0.1424,0.2073,0.1897
0.6884,0.944,0.9706
0.753,0.6748,0.6064
0.8239,0.9378,0.7134
0.2898,0.6625,0.281
1,0.8482,1
0.8642,0.2685,0.2119
0.0881,0.0915,0.2552
0.7573,0.6722,0.618
0.1741,0.0325,0.5907
0.8572,0.4615,0.5718
0.4139,0.2316,0.2515
0.7387,0.4744,0.873
0.1854,0.8948,0.6925
0.8148,0.9631,0.1606
1,0.7416,0.4458
0.8643,0.6228,0.6752
0.4538,0.3166,0.6021
0.4496,0.3584,0.3709
0.8202,0.2414,0.6313
0.7699,0.3617,0.2248
0.3404,0.5048,0.5749
0.4096,0.232,0.269
0.6382,0.2374,0.3845
0.9855,0.8927,0.6758
1,0.4862,0.1936
0.4584,0.9954,0.8024
0.8546,0.4436,0.6892
0.8337,0.6288,0.7345
0.7818,0.313,0.5277
0.3987,0.3217,0.673
0.9516,0.5944,0.5283
0.4706,0.3221,0.5427
0.5996,0.4392,0.4758
0.8325,0.8122,0.339
0.6623,0.5519,0.6334
0.8107,0.3307,0.1554
0.1138,0.7605,0.7916
0.7906,0.6701,0.5037
0.4431,0.4871,0.5325
0.3307,1,0.6083
0.9573,0.5203,0.9656
0.4933,0.473,0.5279
1,0.6963,0.3007
0.4264,0.3624,0.4114
0.173,0.1846,0.2986
0.1654,0.2862,0.4511
0.9148,0.883,0.9993
0.9721,0.5661,0.6714
0.5816,0.5947,0.4855
0.6838,0.834,0.657
0.2178,0.2855,0.3988
0.5355,0.4637,0.4867
0.7185,0.9646,0.6756
0.4753,0.4991,0.2986
0.9056,0.2091,0.1648
0.3353,0.5352,0.1858
0.1923,0.0487,0.2098
0.4483,0.3478,0.4548
0.5819,0.5476,0.837
0.2562,0.1747,0.1547
0.6247,0.5893,0.3779
0.3018,0.4003,0.3908
0.6118,0.9754,0.7917
0.4467,0.3586,0.3793
0.4831,0.4688,0.5822
0.3287,0.3895,0.4311
0.501,0.6079,0.5717
0.8345,0.7994,0.5691
0.0605,0.2062,0.2906
0.7188,0.8281,0.6244
1,0.8663,0.4938
0.5117,0.3407,0.2709
0.1784,0.3195,0.1042
0.8486,0.7845,0.6943
0.1349,0.5365,0.511
0.6426,0.5831,0.3817
0.8093,0.776,0.885
0.5957,0.9947,0.5385
0.7541,0.8124,0.7019
0.9481,0.6006,0.4806
0.8219,0.5066,0.3444
1,0.8284,0.8811
0.4665,0.4942,0.402
0.3817,0.2269,0.3937
0.8735,0.8031,0.19
1,0.8717,0.2033
0.2911,0.3904,0.4877
0.3037,0.3971,0.4157
0.9925,0.7249,0.7272
0.4289,0.6361,0.409
0.5083,0.608,0.5533
0.9639,0.768,0.26
0.2171,0.2951,0.3335
1,0.8602,0.9042
0.5434,0.4626,0.4712
0.8317,0.4898,0.4733
0.8537,0.777,0.7529
0.6381,0.4413,0.2469
0.6651,0.4236,0.3092
0.7168,0.6755,0.7137
0.7199,0.1096,0.3941
0.3732,0.7472,0.7346
0.9374,0.4212,0.4158
0.7222,0.4006,0.0986
0.5653,0.3127,0.2465
0.8254,0.8091,0.4585
0.9363,0.8871,0.9086
0.6973,0.3384,0.7141
0.2792,0.3844,0.5422
0.8683,0.4897,0.0817
0.598,0.8413,0.7783
0.6027,0.7132,0.6631
0.7807,0.8067,0.6829
0.8076,0.9294,0.8565
0.7627,0.4505,0.9137
0.3403,0.2613,0.3074
0.3088,0.2276,0.5302
0.4973,0.6079,0.58
0.3221,0.5221,0.4462
0.3824,0.7398,0.789
0.3239,0.3646,0.5932
0.9757,0.3174,0.7481
1,0.694,0.4563
0.8262,0.7935,0.6761
0.255,0.1707,0.1957
0.4173,0.2863,0.7584
0.4937,0.7283,0.7383
0.8373,0.4181,0.8526
0.5214,0.315,0.44
0.633,0.9997,0.1715
0.7965,0.9262,0.9137
0.6781,0.8015,0.9672
0.1429,0.0946,0.1613
0.8725,0.622,0.6498
0.5913,0.4647,0.1892
0.721,0.6881,0.5788
0.8667,0.2568,0.2922
0.3164,0.2585,0.3864
0.7823,0.7636,1
0.4876,0.8738,0.6107
0.2769,0.1418,0.2911
0.5361,0.4863,0.1602
0.6968,0.5685,0.2896
0.6951,0.8186,0.7945
0.1332,0.2155,0.1028
0.9383,0.3649,0.7288
0.8131,0.3906,0.9963
0.3278,0.1409,0.0038
0.4137,0.503,0.4551
0.4348,1,0.3891
0.668,0.5802,0.2706
0.8571,0.7772,0.7399
0.5806,0.4626,0.3115
0.4401,0.6004,0.7417
0.291,0.6453,0.5533
